,text,label
0,"Rayburn says, yeah, and that guy never ran for sheriff either.",1
1,That's another reason to get the deficit down.,0
2,"That is, I want to bring down rates.",0
3,It would borrow up to $3 trillion.,1
4,Our country has sold out to foreign lobbyists.,1
5,"As a matter of fact, in the proposal for the Alaska lands legislation, 100% of all the offshore lands would be open for exploration, and 95% of all the Alaska lands, where it is suspected or believed that minerals might exist.",1
6,The Governor has to balance the budget in his state he is required to by law.,1
7,I want people to hear what he just said.,0
8,So that's -- that's number one.,0
9,We've been discouraged too long.,0
10,I talk to the Republican leaders and they want it.,1
11,"But I also promised that I'd fight every single day on behalf of the American people, the middle class, and all those who were striving to get into the middle class.",1
12,"I mean, we've cut defense spending too much in the first place.",1
13,"And in this instance the good intentions, of course, are a desire for peace.",0
14,"Let me come back and say, why is it that I don't want to raise taxes?",0
15,"I know they're all for education in science and training, which I strongly support.",0
16,Ten days before I took the oath of office as president they were 21 and a half percent.,1
17,wouldn't it be nice to be the ice man so you never make a mistake?,0
18,"We have got to get health coverage for those who do not have it and we've got to improve the quality for those who do with a patient's bill of rights that's real and that works, the Dingle-Norwood bill, and we have got to fill in the gaps in coverage by finally bringing parity for the treatment of mental illness, because that's been left out.",0
19,"If you stop the drugs, nobody is going to use the drugs; so don't smoke, don't drink, don't use drugs.",0
20,And over the last summers I've flown over there.,1
21,I believe that it is important to tell the truth to the American people.,0
22,In the Georgia government we only had one agency responsible for drug treatment.,1
23,But -- but it'll -- it'll -- it'll be...,0
24,You can't do that and expect to win the war on terror.,0
25,The facts are though -- the facts are -- the American people are hurting.,0
26,"In eight years they haven't gotten anything done on Medicare, on Social Security, a patient's bill of rights.",0
27,You got two years to look for a job.,1
28,"But what President Clinton did, he was impeached, he lost his license to practice law.",1
29,"Donald always takes care of Donald and people like Donald, and this would be a massive gift.",0
30,I'd make sure that Ahmadinejad is indicted under the Genocide Convention.,1
31,"Thank you very much, Ann.",0
32,Then companies won't come here.,0
33,"Number two, we do have to deal with our border so we put more border patrol on the -- any time in history and the flow of undocumented works across the border is actually lower than it's been in 40 years.",1
34,But let me comment on the report.,0
35,You can't be on one hand this way and one hand another.,0
36,It's really -- it's really very interesting.,0
37,"Well, I don't know about all these percentages that he throws out, but I do know that -- I speculate that the reason why he didn't answer your question directly as to whether my numbers were right, the facts were right about Texas ranking dead last in families with health insurance and 49th out of 50 for both children and women, is because those facts are correct.",1
38,You've been through the roughest weeks anybody could imagine.,0
39,I don't like to see the people in a deteriorating economy in a deteriorating country because our government has lost touch with the people.,0
40,And by that I mean we're moving troops out of Korea and replacing them with more effective weapons.,1
41,And Mr. Bush is right - the two go hand in hand.,0
42,Some of the things that can be done about this is a change in the rate structure of electric power companies.,0
43,"The man loves his family a lot, and I appreciate that, because I love my family.",1
44,"Well, first, when I hear Donald talk like that and know that his slogan is ""Make America Great Again,"" I wonder when he thought America was great.",1
45,But she's been there for 30 years she's been doing this stuff.,1
46,One of the more important things we're doing in this administration is transformation.,0
47,And what we needed to do was replace them with international peacekeepers and a special envoy to resolve the crisis before it boiled over.,0
48,He got a deferment or he didn't.,0
49,"That's a hatchet, and then I would get out a scalpel, OK?",0
50,I want to thank the University of Miami for hosting us.,0
51,"And he ought to be proud of it, it's part of his record.",0
52,"I ask you to give me the opportunity to lead this great nation, so that we can be stronger here at home, respected again in the world, and have responsible leadership that we deserve.",0
53,But I do not believe that the way to get more salaries for teachers is to have the federal government get in with a massive program.,0
54,They were not within the treaty area when the treaty was passed in fifty-five.,1
55,And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.,1
56,"Step one, the American people send me up there, the day after election, I'll get with congressional--we won't even wait till inauguration, and I'll ask the president to help me and I'll ask his staff to help me.",0
57,That can't -- that can't be left to stand.,0
58,"I think we need to get serious about this energy crisis, both in the Congress and in the White House, and if you entrust me with the presidency, I will tackle this problem and focus on new technologies that will make us less dependent on big oil or foreign oil.",0
59,He says we ought to have gun-free schools.,1
60,"Everyone should be respected by the law, and everyone should respect the law.",0
61,This Administration and this country last year had the lowest rate of economic growth - which means jobs - of any major industrialized society in the world in 1959.,1
62,"And we'll continue to spend money on research and development, because I truly believe that's the way to get from how we live today to being able to live a standard of living that we're accustomed to and being able to protect our environment better, the use of technologies.",0
63,By the third grade many times children who were in the Head Start program aren't any better off than the others.,1
64,And so I think this is an issue.,0
65,I do not believe in cutting our military.,0
66,But it is important that we learn about what has been effective.,0
67,This is my point tonight.,0
68,I immediately said that this was illegal and objectionable.,1
69,"The last budget he led cut Pell Grants, cut student loans.",1
70,"Secondly, across Texas, typically half of the school day was non-academic pursuits -- in one place it was 35%.",1
71,I am looking to appoint judges very much in the mold of Justice Scalia.,0
72,And all of those things happened because the Philippines do crave democracy.,0
73,"Senator Obama still doesn't quite understand -- or doesn't get it -- that if we fail in Iraq, it encourages Al Qaida.",0
74,It does not happen that the church that I belong to had that as part of its dogma.,1
75,"And meanwhile, North Korea has got nuclear weapons.",1
76,I know what it takes to balance budgets.,0
77,"So obviously, our policy over the last eight years has not worked.",0
78,"The gun epidemic is the leading cause of death of young African- American men, more than the next nine causes put together.",1
79,Because by far the vast majority of the help goes to people at the bottom end of the economic ladder.,1
80,"And as far as the absolute gap is concerned, we find that the United States is even further ahead than it was twenty years ago.",1
81,"Now in determining how we deal with this issue, we must find the answer to a very important but simple question: who threatens the peace?",0
82,Government always needs the money it gets.,0
83,"They're seeing their premiums, their co-pays go up.",1
84,And I supported a big expansion in safe and drug-free schools program to support things like the DARE program because I thought all those things were very important.,1
85,I'm the first president ever to allow funding -- federal funding -- for embryonic stem-cell research.,1
86,"And then 5 days before the troops were killed, they went back to the President, through the Secretary of Defense, and said, ""Please, Mr. President, take those troops out of there because we can't defend them.''",1
87,"I'd like to answer the question, because I've actually been a governor for 12 years, so I've known a lot of people who have lost their jobs because of jobs moving overseas, and I know a lot of people whose plants have been strengthened by increasing exports.",1
88,"Not -- well, we turned over 35,000, so...",1
89,It's gone -- we have now presided over the largest increase in the size of government since the Great Society.,1
90,"Because you left out one other exception, the health of the mother.",0
91,"But we also need to look at some options, whether or not we -- depending on what the options are.",0
92,"Over $60 million at least will go into this campaign to leave the American dream to you and your children, to get this country straightened out, because if anybody owes it to you, I do.",1
93,"And that's why we've got to make some investments and I've called for investments in solar, wind, geothermal.",1
94,And the last thing I wanna make is this.,0
95,"He and I haven't spoken, and I disagree.",0
96,"We've shipped millions of jobs overseas and we have a strange situation because we have a process in Washington where after you've served for a while you cash in, become a foreign lobbyist, make $30,000 a month, then take a leave, work on presidential campaigns, make sure you've got good contacts and then go back out.",1
97,I'm not satisfied until every American enjoys his full constitutional rights.,0
98,I'm proud of the fact that America is stronger and more prosperous and more secure than we were four years ago.,0
99,We can do better than this.,0
100,That's where growth will come from.,0
101,We know that he promised America that he was going to build this coalition.,1
102,They're from a fertility clinic.,1
103,"And for the next decade, she was haunted by that conversation.",0
104,"In the last debate, my opponent said those lawsuits only caused the cost to go up by 1 percent.",1
105,"What I'd also like to point out the Iranians are putting the most lethal IEDs into Iraq which are killing young Americans, there are special groups in Iran coming into Iraq and are being trained in Iran.",1
106,"In my opinion, the people that have been long-term workers at the FBI are furious.",0
107,That was something I concurred with...,1
108,But let me -- let me not just stop there.,0
109,"That's why I've asked you not only to examine my record, but my proposals for the future of this country.",0
110,"By the way, my friends, I know you grow a little weary with this back-and-forth.",0
111,... she's going to vote this November.,0
112,But it is also essential that he not allow a dollar spent that could be better spent by the people themselves.,0
113,I was the first United States president to visit Japan.,1
114,"I won't ask you, but if you do, you're in the top 1%.",0
115,Maybe to Senator Obama it's not a lot of money.,0
116,"And he's also right that oftentimes lobbyists and special interests are the ones that are introducing these kinds of requests, although that wasn't the case with me.",1
117,I see my time is running out here.,0
118,"... to sign immigration reform, and George W. Bush supported it, as well.",1
119,It is America that's in the lead in helping with humanitarian relief for Somalia.,1
120,"Well, I'm pleased with the results of the election.",0
121,"600,000 of whom, and maybe some of those have since gotten it, but as of a year ago 600,000 of them were actually eligible for it but they couldn't sign up for it because of the barriers that they had set up.",1
122,I think we ought to do it by everybody doing what they can do out of conscience.,0
